Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1675628526.3066885,153,73326,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.25,4689541.5,202206.000,19,T
1675628527.3114367,154,73327,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.25,4689541.5,202207.000,19,T
1675628528.3078308,155,73328,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.25,4689541.5,202208.000,19,T
1675628529.3110366,156,73329,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.25,4689541.5,202209.000,19,T
1675628530.3072348,157,73330,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.25,4689541.5,202210.000,19,T
1675628531.2939813,158,73331,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.25,4689541.5,202211.000,19,T
1675628532.3096955,159,73332,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.25,4689541.5,202212.000,19,T
1675628533.3087373,160,73333,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.25,4689541.5,202213.000,19,T
1675628534.308401,161,73334,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.25,4689541.5,202214.000,19,T
1675628535.3080394,162,73335,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.25,4689541.5,202215.000,19,T
1675628536.3086042,163,73336,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.25,4689541.5,202216.000,19,T
1675628537.3061578,164,73337,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.25,4689541.5,202217.000,19,T
1675628538.3070142,165,73338,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.25,4689541.5,202218.000,19,T
1675628539.3107243,166,73339,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.399999618530273,1.0,328285.25,4689541.5,202219.000,19,T
1675628540.323404,167,73340,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.399999618530273,1.0,328285.25,4689541.5,202220.000,19,T
1675628541.3056166,168,73341,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.399999618530273,1.0,328285.25,4689541.5,202221.000,19,T
1675628542.3058138,169,73342,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.399999618530273,1.0,328285.25,4689541.5,202222.000,19,T
1675628543.3002107,170,73343,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.399999618530273,1.0,328285.25,4689541.5,202223.000,19,T
1675628544.3060427,171,73344,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.399999618530273,1.0,328285.25,4689541.5,202224.000,19,T
1675628545.3066037,172,73345,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.399999618530273,1.0,328285.25,4689541.5,202225.000,19,T
1675628546.3044794,173,73346,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.399999618530273,1.0,328285.25,4689541.5,202226.000,19,T
1675628547.3070743,174,73347,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.399999618530273,1.0,328285.25,4689541.5,202227.000,19,T
1675628548.306802,175,73348,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.399999618530273,1.0,328285.25,4689541.5,202228.000,19,T
1675628549.3068802,176,73349,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.399999618530273,1.0,328285.25,4689541.5,202229.000,19,T
1675628550.3082929,177,73350,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.399999618530273,1.0,328285.25,4689541.5,202230.000,19,T
1675628551.2982247,178,73351,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.399999618530273,1.0,328285.25,4689541.5,202231.000,19,T
1675628552.2872021,179,73352,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.399999618530273,1.0,328285.25,4689541.5,202232.000,19,T
1675628553.2986398,180,73353,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.399999618530273,1.0,328285.25,4689541.5,202233.000,19,T
1675628554.3072324,181,73354,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.399999618530273,1.0,328285.25,4689541.5,202234.000,19,T
1675628555.2873223,182,73355,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.399999618530273,1.0,328285.25,4689541.5,202235.000,19,T
1675628556.287319,183,73356,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.399999618530273,1.0,328285.25,4689541.5,202236.000,19,T
1675628557.298434,184,73357,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.399999618530273,1.0,328285.25,4689541.5,202237.000,19,T
1675628558.2962887,185,73358,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.399999618530273,1.0,328285.25,4689541.5,202238.000,19,T
1675628559.3060012,186,73359,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.399999618530273,1.0,328285.25,4689541.5,202239.000,19,T
1675628560.3074405,187,73360,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.399999618530273,1.0,328285.25,4689541.5,202240.000,19,T
